elapsed_seconds,distance_m,speed_mps
726.0,5337.02,2.546
727.0,5341.1,2.547
728.0,5345.57,2.547
729.0,5349.7,2.548
730.0,5353.73,2.548
731.0,5357.93,2.549
732.0,5361.98,2.549
733.0,5366.48,2.55
734.0,5370.91,2.55
735.0,5375.22,2.551
736.0,5379.84,2.551
737.0,5384.03,2.552
738.0,5388.55,2.552
739.0,5393.06,2.553
740.0,5397.67,2.553
741.0,5402.26,2.553
742.0,5407.0,2.553
743.0,5411.9,2.554
744.0,5416.76,2.554
745.0,5421.78,2.555
746.0,5426.84,2.556
747.0,5432.05,2.556
748.0,5437.47,2.556
749.0,5442.85,2.557
750.0,5448.26,2.557
751.0,5453.44,2.557
752.0,5458.69,2.557
753.0,5463.98,2.557
754.0,5469.44,2.558
755.0,5474.92,2.558
756.0,5480.43,2.559
757.0,5485.86,2.559
758.0,5491.38,2.559
759.0,5497.12,2.56
760.0,5502.94,2.56
761.0,5508.64,2.561
762.0,5514.63,2.561
763.0,5520.75,2.561
764.0,5526.96,2.562
765.0,5533.18,2.562
766.0,5539.52,2.562
767.0,5546.11,2.563
768.0,5552.84,2.563
769.0,5559.75,2.563
770.0,5566.52,2.562
771.0,5573.65,2.562
772.0,5580.76,2.562
773.0,5588.21,2.561
774.0,5595.63,2.561
775.0,5603.06,2.56
776.0,5610.57,2.56
777.0,5618.54,2.56
778.0,5626.33,2.559
779.0,5634.47,2.559
780.0,5642.4,2.558
781.0,5650.58,2.557
782.0,5658.6,2.556
783.0,5666.87,2.556
784.0,5674.95,2.554
785.0,5683.35,2.553
786.0,5691.59,2.552
787.0,5699.8,2.551
788.0,5708.01,2.55
789.0,5716.62,2.549
790.0,5725.25,2.548
791.0,5733.88,2.547
792.0,5742.65,2.546
793.0,5751.78,2.544
794.0,5760.73,2.543
795.0,5769.56,2.542
796.0,5778.65,2.541
797.0,5787.72,2.54
798.0,5797.0,2.539
799.0,5806.35,2.538
800.0,5815.57,2.537
801.0,5825.11,2.535
802.0,5834.67,2.534
803.0,5844.22,2.533
804.0,5853.7,2.531
805.0,5863.18,2.53
806.0,5872.74,2.53
807.0,5882.05,2.529
808.0,5890.89,2.528
809.0,5898.49,2.528
810.0,5903.72,2.527
811.0,5906.93,2.527
812.0,5908.79,2.527
813.0,5910.26,2.527
814.0,5912.02,2.528
815.0,5913.55,2.527
816.0,5915.31,2.527
817.0,5917.09,2.528
818.0,5918.5,2.528
819.0,5920.18,2.527
820.0,5921.37,2.527
821.0,5921.37,2.526
822.0,5921.39,2.527
827.0,5921.39,2.526
828.0,5923.24,2.526
829.0,5925.83,2.525
830.0,5928.57,2.525
831.0,5931.65,2.524
832.0,5934.86,2.524
833.0,5937.97,2.524
834.0,5940.91,2.524
835.0,5944.03,2.524
836.0,5947.02,2.524
837.0,5949.31,2.524
838.0,5951.3,2.524
839.0,5952.94,2.525
840.0,5953.95,2.525
841.0,5955.3,2.526
842.0,5956.92,2.526
843.0,5958.53,2.526
844.0,5959.79,2.525
845.0,5960.63,2.525
846.0,5961.36,2.525
847.0,5962.28,2.524
848.0,5962.28,2.524
853.0,5962.28,2.523
854.0,5963.65,2.522
855.0,5966.09,2.522
856.0,5968.98,2.522
857.0,5971.81,2.521
858.0,5976.66,2.521
859.0,5981.85,2.521
860.0,5986.94,2.521
861.0,5992.17,2.522
862.0,5998.54,2.522
863.0,6004.85,2.522
864.0,6011.44,2.522
865.0,6018.09,2.522
866.0,6024.78,2.522
867.0,6031.44,2.522
868.0,6038.52,2.523
869.0,6046.02,2.523
870.0,6053.15,2.523
871.0,6061.01,2.523
872.0,6068.57,2.524
873.0,6076.27,2.524
874.0,6084.18,2.524
875.0,6091.99,2.525
876.0,6099.51,2.526
877.0,6107.5,2.526
878.0,6115.96,2.525
879.0,6124.47,2.525
880.0,6133.19,2.524
881.0,6141.31,2.524
882.0,6149.11,2.524
883.0,6156.81,2.524
884.0,6164.54,2.525
885.0,6172.01,2.525
886.0,6180.22,2.525
887.0,6188.14,2.526
888.0,6195.47,2.526
889.0,6202.61,2.526
890.0,6209.23,2.527
891.0,6214.88,2.527
892.0,6220.23,2.527
893.0,6225.24,2.528
894.0,6230.59,2.529
895.0,6234.9,2.529
896.0,6240.07,2.529
897.0,6245.07,2.53
898.0,6250.94,2.53
899.0,6257.06,2.529
900.0,6262.86,2.529
901.0,6269.01,2.529
902.0,6274.87,2.528
903.0,6280.9,2.528
904.0,6287.26,2.527
905.0,6292.66,2.527
906.0,6298.2,2.527
907.0,6303.33,2.526
908.0,6307.41,2.526
909.0,6311.19,2.526
910.0,6314.35,2.527
911.0,6318.38,2.527
912.0,6322.61,2.527
913.0,6327.87,2.527
914.0,6333.33,2.526
915.0,6339.15,2.526
916.0,6344.88,2.526
917.0,6350.82,2.525
918.0,6356.29,2.525
919.0,6361.23,2.525
920.0,6365.48,2.525
921.0,6369.11,2.525
922.0,6371.76,2.526
923.0,6375.93,2.526
924.0,6379.19,2.526
925.0,6382.73,2.526
926.0,6386.63,2.526
927.0,6391.46,2.526
928.0,6395.27,2.525
929.0,6397.07,2.525
930.0,6398.68,2.525
931.0,6399.49,2.525
932.0,6400.33,2.525
933.0,6401.52,2.525
934.0,6402.55,2.525
935.0,6403.45,2.525
936.0,6404.45,2.525
937.0,6405.57,2.524
938.0,6407.22,2.524
939.0,6409.08,2.524
940.0,6411.5,2.524
941.0,6414.78,2.524
942.0,6417.62,2.524
943.0,6420.93,2.524
944.0,6423.75,2.524
945.0,6426.89,2.524
946.0,6430.0,2.524
947.0,6433.56,2.524
948.0,6436.63,2.524
949.0,6440.35,2.524
950.0,6444.0,2.524
951.0,6447.48,2.524
952.0,6451.11,2.524
953.0,6454.53,2.524
954.0,6458.55,2.524
955.0,6462.48,2.524
956.0,6467.04,2.523
957.0,6471.83,2.523
958.0,6476.56,2.523
959.0,6481.82,2.523
960.0,6486.81,2.524
961.0,6492.14,2.524
962.0,6498.29,2.524
963.0,6503.4,2.524
964.0,6509.54,2.523
965.0,6516.15,2.523
966.0,6521.85,2.523
967.0,6528.1,2.523
968.0,6534.04,2.523
969.0,6540.13,2.524
970.0,6546.41,2.524
971.0,6552.21,2.524
972.0,6558.18,2.524
973.0,6564.18,2.524
974.0,6570.16,2.524
975.0,6575.73,2.524
976.0,6581.3,2.525
977.0,6586.23,2.525
978.0,6591.91,2.525
979.0,6597.49,2.525
980.0,6602.99,2.525
981.0,6608.49,2.525
982.0,6613.18,2.526
983.0,6616.51,2.526
984.0,6621.13,2.526
985.0,6625.23,2.526
986.0,6629.88,2.526
987.0,6634.19,2.526
988.0,6639.72,2.526
989.0,6644.81,2.526
990.0,6650.32,2.526
991.0,6655.85,2.526
992.0,6661.39,2.526
993.0,6666.96,2.526
994.0,6672.43,2.526
995.0,6678.78,2.526
996.0,6684.77,2.526
997.0,6690.99,2.526
998.0,6697.36,2.526
999.0,6703.64,2.526
1000.0,6709.63,2.525
1001.0,6715.66,2.525
1002.0,6721.77,2.524
1003.0,6728.06,2.525
1004.0,6733.69,2.525
1005.0,6739.28,2.525
1006.0,6744.41,2.525
1007.0,6749.34,2.525
1008.0,6754.57,2.525
1009.0,6761.13,2.525
1010.0,6769.62,2.524
1011.0,6777.54,2.524
1012.0,6784.6,2.524
1013.0,6791.07,2.524
1014.0,6796.96,2.524
1015.0,6802.9,2.525
1016.0,6808.72,2.525
1017.0,6815.05,2.526
1018.0,6820.81,2.526
1019.0,6827.11,2.526
1020.0,6833.67,2.526
1021.0,6840.09,2.527
1022.0,6846.49,2.527
1023.0,6852.86,2.527
1024.0,6858.67,2.528
1025.0,6864.41,2.528
1026.0,6870.09,2.528
1027.0,6875.74,2.529
1028.0,6881.4,2.528
1029.0,6887.17,2.528
1030.0,6893.19,2.528
1031.0,6899.65,2.527
1032.0,6906.26,2.527
1033.0,6912.41,2.526
1034.0,6918.75,2.525
1035.0,6924.84,2.525
1036.0,6930.49,2.524
1037.0,6936.05,2.524
1038.0,6941.78,2.524
1039.0,6947.46,2.524
1040.0,6952.53,2.524
1041.0,6957.91,2.524
1042.0,6963.23,2.524
1043.0,6968.64,2.524
1044.0,6973.93,2.524
1045.0,6979.22,2.524
1046.0,6984.84,2.523
1047.0,6990.34,2.523
1048.0,6996.16,2.523
1049.0,7001.09,2.523
1050.0,7005.99,2.523
1051.0,7011.0,2.523
1052.0,7015.11,2.522
1053.0,7019.01,2.522
1054.0,7022.49,2.523
1055.0,7026.16,2.522
1056.0,7030.06,2.523
1057.0,7034.07,2.523
1058.0,7038.31,2.523
1059.0,7042.71,2.523
1060.0,7047.78,2.523
1061.0,7052.79,2.523
1062.0,7058.1,2.523
1063.0,7063.64,2.523
1064.0,7069.69,2.523
1065.0,7075.79,2.523
1066.0,7081.78,2.522
1067.0,7088.05,2.522
1068.0,7094.41,2.522
1069.0,7100.73,2.521
1070.0,7106.61,2.521
1071.0,7112.37,2.521
1072.0,7118.16,2.521
1073.0,7123.74,2.521
1074.0,7129.28,2.522
1075.0,7134.85,2.522
1076.0,7140.27,2.522
1077.0,7145.58,2.523
1078.0,7150.56,2.523
1079.0,7155.43,2.523
1080.0,7160.59,2.523
1081.0,7164.68,2.523
1082.0,7169.35,2.523
1083.0,7173.41,2.524
1084.0,7177.62,2.523
1085.0,7181.66,2.524
1086.0,7186.03,2.524
1087.0,7190.08,2.524
